STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-01,,80,91,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-02,,81,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-03,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-04,,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-05,0,79,89,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-06,,83,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-07,,82,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-08,,82,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-09,,79,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-10,0,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-11,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-12,,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-13,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-14,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-15,,80,91,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-16,,81,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-17,,82,88,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-18,,85,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-19,,83,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-20,,84,90,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-21,,83,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-22,0.39,83,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-24,,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-25,,78,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-26,,80,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-27,,82,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-28,,81,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-29,,81,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-30,,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-31,,81,92,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-01,,83,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-02,,83,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-03,,81,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-04,,83,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-05,,83,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-06,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-07,,83,91,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-08,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-09,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-10,,79,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-11,,85,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-12,,85,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-13,,82,94,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-14,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-15,,84,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-16,,86,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-17,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-18,0.01,83,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-19,0,76,88,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-20,0.2,76,89,70
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-21,0,82,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-22,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-23,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-24,0.04,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-25,0,84,92,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-26,,85,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-27,0,85,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-28,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-01,0,83,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-02,,83,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-03,,82,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-04,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-05,,85,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-06,,87,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-07,,84,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-08,,85,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-09,,85,92,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-10,,87,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-11,,87,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-12,,85,94,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-13,,85,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-14,,85,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-15,,87,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-16,0,86,93,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-17,,86,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-18,,85,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-19,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-20,,86,94,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-21,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-22,,82,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-23,,84,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-24,,85,93,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-25,,85,,80
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-26,,87,,80
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-27,0,85,93,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-28,,86,92,79
